codigo_ibge,ano,deficitAgua,deficitEsgoto,deficitResiduos
2601805,2018,51.34,,
2601805,2019,50.55,,
2601805,2020,48.75,,
2601805,2021,47.3,,
2601805,2022,40.93,72.78,
2601805,2023,59.57,,
2601904,2015,19.200000000000003,,
2601904,2016,13.590000000000003,,
2601904,2017,12.730000000000004,,
2601904,2018,9.89,,
2601904,2019,7.099999999999994,,
2601904,2020,6.140000000000001,67.83,
2601904,2021,5.260000000000005,,
2601904,2022,5.219999999999999,,
2601904,2023,18.659999999999997,,
2602001,2015,54.26,55.18,
2602001,2016,53.66,54.39,
2602001,2017,52.98,56.58,
2602001,2018,52.18,49.86,
2602001,2019,51.6,53.84,
2602001,2020,51.28,54.71,
2602001,2021,51.03,,
2602001,2022,44.35,,
2602001,2023,55.07,,
2602100,2015,35.18000000000001,,
2602100,2016,33.59,,
2602100,2017,32.739999999999995,,
2602100,2018,31.91,,
2602100,2019,30.91,,
2602100,2020,30.3,,
2602100,2021,29.760000000000005,,
2602100,2022,20.730000000000004,,
2602100,2023,34.510000000000005,,
2602209,2015,35.8,,
2602209,2016,36.21,,
2602209,2017,34.620000000000005,86.5,
2602209,2018,34.150000000000006,85.8,
2602209,2019,33.18000000000001,87.33,
2602209,2020,34.230000000000004,88.18,
2602209,2021,34.11,85.34,
2602209,2022,29.55,92.59,
2602209,2023,42.2,,
2602308,2015,15.150000000000006,,
2602308,2016,12.790000000000006,,
2602308,2017,10.03,,
2602308,2018,7.859999999999999,,
2602308,2019,6.569999999999993,,
2602308,2020,5.209999999999994,,
2602308,2021,4.069999999999993,39.51,
2602308,2022,0.0,0.0,
2602308,2023,23.47,,
2602407,2015,55.36,,
2602407,2016,54.57,,
2602407,2017,54.14,,
2602407,2018,53.92,,
2602407,2019,53.23,,
2602407,2020,50.53,,
2602407,2021,49.91,,
2602407,2022,50.37,,
2602407,2023,59.52,,
2602506,2015,36.5,,
2602506,2016,33.55,,
2602506,2017,31.16,,
2602506,2018,29.86,0.0,
2602506,2019,28.97,0.0,
2602506,2020,27.230000000000004,,
2602506,2021,25.840000000000003,,
2602506,2022,24.959999999999997,,
2602506,2023,43.67,,
2602605,2015,44.34,0.0,
2602605,2016,44.17,0.0,
2602605,2017,44.05,0.0,
2602605,2018,43.12,0.0,
2602605,2019,42.65,0.0,
2602605,2020,42.99,0.0,
2602605,2021,43.25,0.0,
2602605,2022,39.43,20.0,
2602605,2023,51.38,,
2602704,2015,27.959999999999997,,
2602704,2016,24.90000000000001,,
2602704,2017,23.480000000000004,,
2602704,2018,22.680000000000007,,
2602704,2019,21.72,,
2602704,2020,20.930000000000007,,
2602704,2021,21.03,,
2602704,2022,18.28,,
2602704,2023,31.459999999999994,,
2602803,2015,69.81,,
2602803,2016,67.83,,
2602803,2017,67.50999999999999,,
2602803,2018,66.91,,
2602803,2019,66.63,,
2602803,2020,66.33,0.0,
2602803,2021,65.84,0.0,
2602803,2022,60.36,0.0,
2602803,2023,68.34,,
2602902,2015,16.510000000000005,98.29,
2602902,2016,21.040000000000006,96.41,
2602902,2017,14.78,96.17,
2602902,2018,13.159999999999997,96.18,
2602902,2019,12.120000000000005,96.11,
2602902,2020,9.299999999999995,95.99,
2602902,2021,7.870000000000003,96.32,
2602902,2022,3.5400000000000063,87.44,
2602902,2023,26.090000000000003,,
2603009,2015,16.870000000000005,18.450000000000003,
2603009,2016,16.290000000000006,11.950000000000005,
2603009,2017,15.040000000000006,12.659999999999997,
2603009,2018,14.579999999999998,4.099999999999994,
2603009,2019,13.739999999999997,7.060000000000002,
2603009,2020,13.590000000000003,5.290000000000006,
2603009,2021,13.370000000000005,40.56,
2603009,2022,0.0,9.900000000000006,
2603009,2023,25.680000000000007,,
2603108,2015,12.829999999999998,,
2603108,2016,11.450000000000005,,
2603108,2017,8.930000000000007,6.019999999999996,
2603108,2018,6.540000000000006,0.0,
2603108,2019,0.0,9.060000000000002,
2603108,2020,0.0,12.790000000000006,
2603108,2021,0.0,0.0,
2603108,2022,0.0,20.14,
2603108,2023,14.189999999999998,,
2603207,2015,76.78,,
2603207,2016,81.44,,
2603207,2017,80.68,,
2603207,2018,79.57,,
2603207,2019,75.97,,
