ano,codigo_ibge,municipio,populacao,mesorregiao_id,mesorregiao,pop_interpolada
2016,2610103,Palmeirina,7864,2603,Agreste Pernambucano,False
2017,2610103,Palmeirina,7761,2603,Agreste Pernambucano,False
2018,2610103,Palmeirina,7789,2603,Agreste Pernambucano,False
2019,2610103,Palmeirina,7693,2603,Agreste Pernambucano,False
2020,2610103,Palmeirina,7600,2603,Agreste Pernambucano,False
2021,2610103,Palmeirina,7509,2603,Agreste Pernambucano,False
2022,2610103,Palmeirina,7391,2603,Agreste Pernambucano,True
2023,2610103,Palmeirina,7272,2603,Agreste Pernambucano,True
2024,2610103,Palmeirina,7154,2603,Agreste Pernambucano,False
2015,2610202,Panelas,26464,2603,Agreste Pernambucano,False
2016,2610202,Panelas,26440,2603,Agreste Pernambucano,False
2017,2610202,Panelas,26417,2603,Agreste Pernambucano,False
2018,2610202,Panelas,26492,2603,Agreste Pernambucano,False
2019,2610202,Panelas,26474,2603,Agreste Pernambucano,False
2020,2610202,Panelas,26456,2603,Agreste Pernambucano,False
2021,2610202,Panelas,26438,2603,Agreste Pernambucano,False
2022,2610202,Panelas,25442,2603,Agreste Pernambucano,True
2023,2610202,Panelas,24445,2603,Agreste Pernambucano,True
2024,2610202,Panelas,23449,2603,Agreste Pernambucano,False
2015,2610301,Paranatama,11357,2603,Agreste Pernambucano,False
2016,2610301,Paranatama,11403,2603,Agreste Pernambucano,False
2017,2610301,Paranatama,11449,2603,Agreste Pernambucano,False
2018,2610301,Paranatama,11478,2603,Agreste Pernambucano,False
2019,2610301,Paranatama,11523,2603,Agreste Pernambucano,False
2020,2610301,Paranatama,11566,2603,Agreste Pernambucano,False
2021,2610301,Paranatama,11608,2603,Agreste Pernambucano,False
2022,2610301,Paranatama,11976,2603,Agreste Pernambucano,True
2023,2610301,Paranatama,12344,2603,Agreste Pernambucano,True
2024,2610301,Paranatama,12712,2603,Agreste Pernambucano,False
2015,2610400,Parnamirim,21193,2601,Sertão Pernambucano,False
2016,2610400,Parnamirim,21290,2601,Sertão Pernambucano,False
2017,2610400,Parnamirim,21383,2601,Sertão Pernambucano,False
2018,2610400,Parnamirim,21914,2601,Sertão Pernambucano,False
2019,2610400,Parnamirim,22010,2601,Sertão Pernambucano,False
2020,2610400,Parnamirim,22106,2601,Sertão Pernambucano,False
2021,2610400,Parnamirim,22198,2601,Sertão Pernambucano,False
2022,2610400,Parnamirim,21141,2601,Sertão Pernambucano,True
2023,2610400,Parnamirim,20085,2601,Sertão Pernambucano,True
2024,2610400,Parnamirim,19028,2601,Sertão Pernambucano,False
2015,2610509,Passira,28982,2603,Agreste Pernambucano,False
2016,2610509,Passira,28935,2603,Agreste Pernambucano,False
2017,2610509,Passira,28889,2603,Agreste Pernambucano,False
2018,2610509,Passira,28972,2603,Agreste Pernambucano,False
2019,2610509,Passira,28933,2603,Agreste Pernambucano,False
